isfocus,focus,word,normalized_words,index,POS,-1POS,-2POS,+1POS,+2POS,prediction
1,chapter,Chapter,chapter,0,15,39,39,7,4,1
0,chapter,4,4,1,7,15,39,4,39,0
0,chapter,.,.,2,4,7,15,39,39,0
0,cause,I,i,0,10,39,39,8,11,0
0,cause,had,have,1,8,10,39,11,15,0
0,cause,thus,thus,2,11,8,10,15,5,0
0,cause,learned,learn,3,15,11,8,5,23,0
0,cause,a,a,4,5,15,11,23,3,0
0,cause,second,second,5,23,5,15,3,10,0
0,cause,fact,fact,6,3,23,5,10,23,0
0,cause,of,of,7,10,3,23,23,3,0
0,cause,great,great,8,23,10,3,3,21,0
0,cause,importance,importance,9,3,23,10,21,31,0
0,cause,:,:,10,21,3,23,31,18,0
0,cause,this,this,11,31,21,3,18,28,0
0,cause,was,be,12,18,31,21,28,8,0
0,cause,that,that,13,28,18,31,8,15,0
0,cause,the,the,14,8,28,18,15,5,0
0,cause,planet,planet,15,15,8,28,5,8,0
0,cause,the,the,16,5,15,8,8,15,0
0,cause,little,little,17,8,5,15,15,10,0
0,cause,prince,prince,18,15,8,5,10,8,0
0,cause,came,come,19,10,15,8,8,11,0
0,cause,from,from,20,8,10,15,11,15,0
0,cause,was,be,21,11,8,10,15,20,0
0,cause,scarcely,scarcely,22,15,11,8,20,15,0
0,cause,any,any,23,20,15,11,15,31,0
0,cause,larger,large,24,15,20,15,31,33,0
0,cause,than,than,25,31,15,20,33,28,0
0,cause,a,a,26,33,31,15,28,21,0
0,cause,house,house,27,28,33,31,21,4,0
0,cause,!,!,28,21,28,33,4,39,0
0,contrast,But,but,0,4,21,28,39,39,0
0,contrast,that,that,1,23,39,39,3,10,0
0,contrast,did,do,2,3,23,39,10,15,0
0,contrast,not,not,3,10,3,23,15,28,0
0,contrast,really,really,4,15,10,3,28,30,0
0,contrast,surprise,surprise,5,28,15,10,30,26,0
0,contrast,me,me,6,30,28,15,26,28,0
0,contrast,much,much,7,26,30,28,28,21,0
0,contrast,.,.,8,28,26,30,21,3,0
0,know,I,i,0,21,28,26,3,6,0
0,know,knew,knew,1,3,21,28,6,10,0
0,know,very,very,2,6,3,21,10,10,0
0,know,well,well,3,10,6,3,10,8,0
0,know,that,that,4,10,10,6,8,15,0
0,know,in,in,5,8,10,10,15,31,0
0,know,addition,addition,6,15,8,10,31,33,0
0,know,to,to,7,31,15,8,33,33,0
0,know,the,the,8,33,31,15,33,10,0
0,know,great,great,9,33,33,31,10,23,0
0,know,planets,planet,10,10,33,33,23,6,0
0,know,--,--,11,23,10,33,6,11,0
0,know,such,such,12,6,23,10,11,15,0
0,know,as,a,13,11,6,23,15,10,0
0,know,the,the,14,15,11,6,10,22,0
0,know,Earth,earth,15,10,15,11,22,15,0
0,know,",",",",16,22,10,15,15,3,0
0,know,Jupiter,jupiter,17,15,22,10,3,21,0
0,know,",",",",18,3,15,22,21,31,0
0,know,Mars,mars,19,21,3,15,31,5,0
0,know,",",",",20,31,21,3,5,40,0
0,know,Venus,venus,21,5,31,21,40,8,0
0,know,--,--,22,39,5,31,8,15,0
0,know,to,to,23,8,40,5,15,5,0
0,know,which,which,24,15,8,40,5,10,0
0,know,we,we,25,5,15,8,10,21,0
0,know,have,have,26,10,5,15,21,35,0
0,know,given,give,27,21,10,5,35,11,0
0,know,names,name,28,35,21,10,11,18,0
0,know,",",",",29,11,35,21,18,3,0
0,know,there,there,30,18,11,35,3,35,0
0,know,are,be,31,3,18,11,35,21,0
0,know,also,also,32,35,3,18,21,30,0
0,know,hundreds,hundred,33,21,35,3,30,18,0
0,know,of,of,34,30,21,35,18,3,0
0,know,others,others,35,18,30,21,3,23,0
0,know,",",",",36,3,18,30,23,4,0
0,know,some,some,37,23,3,18,4,40,0
0,know,of,of,38,4,23,3,40,39,0
0,know,which,which,39,39,4,23,39,39,0
0,know,are,be,40,39,39,39,8,15,0
0,know,so,so,41,8,40,39,15,3,0
0,know,small,small,42,15,8,40,3,40,0
0,know,that,that,43,3,15,8,40,39,0
0,know,one,one,44,39,3,15,39,39,0
0,know,has,have,45,21,39,39,31,3,0
0,know,a,a,46,31,21,39,3,40,0
0,know,hard,hard,47,3,31,21,40,35,0
0,know,time,time,48,39,3,31,35,15,0
0,know,seeing,see,49,35,40,3,15,21,0
0,know,them,them,50,15,35,40,21,35,0
0,know,through,through,51,21,15,35,35,10,0
0,know,the,the,52,35,21,15,10,22,0
0,know,telescope,telescope,53,10,35,21,22,15,0
0,know,.,.,54,22,10,35,15,4,0
0,give,When,when,0,15,22,10,4,40,0
0,give,an,an,1,4,15,22,40,39,0
0,give,astronomer,astronomer,2,39,4,15,39,39,0
0,give,discovers,discovers,3,39,39,39,23,18,0
0,give,one,one,4,23,40,39,18,36,0
0,give,of,of,5,18,23,40,36,34,0
0,give,these,these,6,36,18,23,34,33,0
0,give,he,he,7,34,36,18,33,4,0
0,give,does,do,8,33,34,36,4,40,0
0,give,not,not,9,4,33,34,40,39,0
1,give,give,give,10,39,4,33,39,39,0
0,give,it,it,11,39,39,39,29,3,0
0,give,a,a,12,29,40,39,3,23,0
0,give,name,name,13,3,29,40,23,18,0
0,give,",",",",14,23,3,29,18,36,0
0,give,but,but,15,18,23,3,36,34,0
0,give,only,only,16,36,18,23,34,18,0
0,give,a,a,17,34,36,18,18,4,0
0,give,number,number,18,18,34,36,4,40,0
0,give,.,.,19,4,18,34,40,39,0
0,possible,He,he,0,39,4,18,39,39,0
0,possible,might,might,1,39,39,39,23,8,0
0,possible,call,call,2,23,40,39,8,18,1
0,possible,it,it,3,8,23,40,18,5,0
0,possible,",",",",4,18,8,23,5,37,0
0,possible,for,for,5,5,18,8,37,15,0
0,possible,example,example,6,37,5,18,15,34,0
0,possible,",",",",7,15,37,5,34,21,0
0,possible,``,``,8,34,15,37,21,4,0
0,possible,Asteroid,asteroid,9,21,34,15,4,40,0
0,possible,325,325,10,4,21,34,40,39,0
0,possible,.,.,11,39,4,21,39,39,0
0,possible,``,``,12,21,39,39,31,23,0
0,cause,I,i,0,31,21,39,23,30,0
0,cause,have,have,1,23,31,21,30,4,0
0,cause,serious,serious,2,30,23,31,4,39,0
0,cause,reason,reason,3,4,30,23,39,39,0
0,cause,to,to,4,10,39,39,8,15,0
0,cause,believe,believe,5,8,10,39,15,21,1
0,cause,that,that,6,15,8,10,21,31,0
0,cause,the,the,7,21,15,8,31,23,0
0,cause,planet,planet,8,31,21,15,23,11,0
0,cause,from,from,9,23,31,21,11,32,0
0,cause,which,which,10,11,23,31,32,28,0
0,cause,the,the,11,32,11,23,28,30,0
0,cause,little,little,12,28,32,11,30,8,0
0,cause,prince,prince,13,30,28,32,8,15,0
0,cause,came,come,14,8,30,28,15,36,0
0,cause,is,be,15,15,8,30,36,31,0
0,cause,the,the,16,36,15,8,31,33,0
0,cause,asteroid,asteroid,17,31,36,15,33,33,0
0,cause,known,know,18,33,31,36,33,10,0
0,cause,as,a,19,33,33,31,10,22,0
0,cause,B-612,b-612,20,10,33,33,22,15,0
0,cause,.,.,21,22,10,33,15,4,0
0,see,This,this,0,15,22,10,4,39,0
0,see,asteroid,asteroid,1,4,15,22,39,39,0
0,see,has,have,2,21,39,39,31,23,0
0,see,only,only,3,31,21,39,23,11,0
0,see,once,once,4,23,31,21,11,33,0
0,see,been,be,5,11,23,31,33,3,0
1,see,seen,see,6,33,11,23,3,10,0
0,see,through,through,7,3,33,11,10,21,0
0,see,the,the,8,10,3,33,21,31,0
0,see,telescope,telescope,9,21,10,3,31,32,0
0,see,.,.,10,31,21,10,32,11,0
0,see,That,that,0,32,31,21,11,28,0
0,see,was,be,1,11,32,31,28,21,0
0,see,by,by,2,28,11,32,21,10,0
0,see,a,a,3,21,28,11,10,8,0
0,see,Turkish,turkish,4,10,21,28,8,15,0
0,see,astronomer,astronomer,5,8,10,21,15,10,0
0,see,",",",",6,15,8,10,10,22,0
0,see,in,in,7,10,15,8,22,15,0
0,see,1909,1909,8,22,10,15,15,31,0
0,see,.,.,9,15,22,10,31,23,0
0,present,On,on,0,31,15,22,23,11,0
0,present,making,make,1,23,31,15,11,4,0
0,present,his,his,2,11,23,31,4,39,0
0,present,discovery,discovery,3,4,11,23,39,39,0
0,present,",",",",4,6,39,39,21,31,0
0,present,the,the,5,21,6,39,31,23,0
0,present,astronomer,astronomer,6,31,21,6,23,11,0
0,present,had,have,7,23,31,21,11,32,0
1,present,presented,present,8,11,23,31,32,5,0
0,present,it,it,9,32,11,23,5,15,0
0,present,to,to,10,5,32,11,15,31,0
0,present,the,the,11,15,5,32,31,10,0
0,present,International,international,12,31,15,5,10,21,0
0,present,Astronomical,astronomical,13,10,31,15,21,31,0
0,present,Congress,congress,14,21,10,31,31,28,0
0,present,",",",",15,31,21,10,28,30,0
0,present,in,in,16,28,31,21,30,10,0
0,present,a,a,17,30,28,31,10,8,0
0,present,great,great,18,10,30,28,8,13,0
0,present,demonstration,demonstration,19,8,10,30,13,4,0
0,present,.,.,20,13,8,10,4,39,0
0,contrast,But,but,0,4,13,8,39,39,0
0,contrast,he,he,1,39,39,39,8,18,0
0,contrast,was,be,2,8,40,39,18,5,0
0,contrast,in,in,3,18,8,40,5,5,0
0,contrast,Turkish,turkish,4,5,18,8,5,37,0
0,contrast,costume,costume,5,5,5,18,37,15,0
0,contrast,",",",",6,37,5,5,15,34,0
0,contrast,and,and,7,15,37,5,34,21,0
0,contrast,so,so,8,34,15,37,21,4,0
0,contrast,nobody,nobody,9,21,34,15,4,40,0
0,contrast,would,would,10,4,21,34,40,39,0
0,contrast,believe,believe,11,39,4,21,39,39,0
0,contrast,what,what,12,8,39,39,11,15,0
0,contrast,he,he,13,11,8,39,15,23,0
0,contrast,said,say,14,15,11,8,23,31,1
0,contrast,.,.,15,23,15,11,31,30,0
0,resemble,Grown,grown,0,31,23,15,30,10,0
0,resemble,-,-,1,30,31,23,10,8,0
0,resemble,ups,ups,2,10,30,31,8,15,0
0,resemble,are,be,3,8,10,30,15,3,0
0,resemble,like,like,4,15,8,10,3,23,0
0,resemble,that,that,5,3,15,8,23,21,0
0,resemble,...,...,6,23,3,15,21,31,0
0,contrast,Fortunately,fortunately,0,21,23,3,31,33,0
0,contrast,",",",",1,31,21,23,33,21,0
0,contrast,however,however,2,33,31,21,21,4,0
0,contrast,",",",",3,21,33,31,4,39,0
0,contrast,for,for,4,4,21,33,39,39,0
0,contrast,the,the,5,10,39,39,10,21,0
0,contrast,reputation,reputation,6,10,10,39,21,3,0
0,contrast,of,of,7,21,10,10,3,21,0
0,contrast,Asteroid,asteroid,8,3,21,10,21,31,0
0,contrast,B-612,b-612,9,21,3,21,31,33,0
0,contrast,",",",",10,31,21,3,33,10,0
0,contrast,a,a,11,33,31,21,10,8,0
0,contrast,Turkish,turkish,12,10,33,31,8,15,0
0,contrast,dictator,dictator,13,8,10,33,15,4,0
0,contrast,made,make,14,15,8,10,4,39,0
0,contrast,a,a,15,4,15,8,39,39,0
0,contrast,law,law,16,6,39,39,21,31,0
0,contrast,that,that,17,21,6,39,31,10,0
0,contrast,his,his,18,31,21,6,10,8,0
0,contrast,subjects,subject,19,10,31,21,8,11,0
0,contrast,",",",",20,8,10,31,11,15,0
0,contrast,under,under,21,11,8,10,15,36,0
0,contrast,pain,pain,22,15,11,8,36,31,0
0,contrast,of,of,23,36,15,11,31,10,0
0,contrast,death,death,24,31,36,15,10,22,0
0,contrast,",",",",25,10,31,36,22,15,0
0,contrast,should,should,26,22,10,31,15,5,0
0,contrast,change,change,27,15,22,10,5,40,0
0,contrast,to,to,28,5,15,22,40,8,0
0,contrast,European,european,29,39,5,15,8,18,0
0,contrast,costume,costume,30,8,40,5,18,34,0
0,contrast,.,.,31,18,8,40,34,10,0
0,cause,So,so,0,34,18,8,10,8,0
0,cause,in,in,1,10,34,18,8,15,0
0,cause,1920,1920,2,8,10,34,15,10,0
0,cause,the,the,3,15,8,10,10,8,0
0,cause,astronomer,astronomer,4,10,15,8,8,4,0
0,cause,gave,give,5,8,10,15,4,39,1
0,cause,his,his,6,4,8,10,39,39,0
0,cause,demonstration,demonstration,7,18,39,39,34,18,0
0,cause,all,all,8,34,18,39,18,23,0
0,cause,over,over,9,18,34,18,23,10,0
0,cause,again,again,10,23,18,34,10,15,0
0,cause,",",",",11,10,23,18,15,4,0
0,cause,dressed,dress,12,15,10,23,4,40,0
0,cause,with,with,13,4,15,10,40,39,0
0,cause,impressive,impressive,14,39,4,15,39,39,0
0,cause,style,style,15,39,39,39,29,4,0
0,cause,and,and,16,29,40,39,4,40,0
0,cause,elegance,elegance,17,4,29,40,40,39,0
0,cause,.,.,18,39,4,29,39,39,0
1,and,And,and,0,9,39,39,31,8,0
0,and,this,this,1,31,9,39,8,15,0
0,and,time,time,2,8,31,9,15,10,0
0,and,everybody,everybody,3,15,8,31,10,11,0
0,and,accepted,accepted,4,10,15,8,11,15,0
0,and,his,his,5,11,10,15,15,4,0
0,and,report,report,6,15,11,10,4,39,0
0,and,.,.,7,4,15,11,39,39,0
0,account,If,if,0,23,39,39,8,11,0
0,account,I,i,1,8,23,39,11,15,0
0,account,have,have,2,11,8,23,15,31,0
0,account,told,told,3,15,11,8,31,23,0
0,account,you,you,4,31,15,11,23,10,0
0,account,these,these,5,23,31,15,10,21,0
0,account,details,detail,6,10,23,31,21,3,0
0,account,about,about,7,21,10,23,3,10,0
0,account,the,the,8,3,21,10,10,8,0
0,account,asteroid,asteroid,9,10,3,21,8,15,0
0,account,",",",",10,8,10,3,15,10,0
0,account,and,and,11,15,8,10,10,15,0
0,account,made,make,12,10,15,8,15,5,0
0,account,a,a,13,15,10,15,5,40,0
0,account,note,note,14,5,15,10,40,21,0
0,account,of,of,15,39,5,15,21,34,0
0,account,its,it,16,21,40,5,34,23,0
0,account,number,number,17,34,21,40,23,30,0
0,account,for,for,18,23,34,21,30,21,0
0,account,you,you,19,30,23,34,21,4,0
0,account,",",",",20,21,30,23,4,39,0
0,account,it,it,21,4,21,30,39,39,0
0,account,is,be,22,18,39,39,34,11,0
0,account,on,on,23,34,18,39,11,18,0
1,account,account,account,24,11,34,18,18,4,0
0,account,of,of,25,18,11,34,4,39,0
0,account,the,the,26,4,18,11,39,39,0
0,account,grown,grown,27,21,39,39,34,11,0
0,account,-,-,28,34,21,39,11,4,0
0,account,ups,ups,29,11,34,21,4,39,0
0,account,and,and,30,4,11,34,39,39,0
0,account,their,their,31,21,39,39,34,21,0
0,account,ways,way,32,34,21,39,21,10,0
0,account,.,.,33,21,34,21,10,10,0
0,question,WHen,when,0,10,21,34,10,21,0
0,question,you,you,1,10,10,21,21,14,0
0,question,tell,tell,2,21,10,10,14,4,1
0,question,them,them,3,14,21,10,4,39,0
0,question,that,that,4,4,14,21,39,39,0
0,question,you,you,5,21,39,39,34,10,0
0,question,have,have,6,34,21,39,10,22,0
0,question,made,make,7,10,34,21,22,18,0
0,question,a,a,8,22,10,34,18,34,0
0,question,new,new,9,18,22,10,34,11,0
0,question,friend,friend,10,34,18,22,11,18,0
0,question,",",",",11,11,34,18,18,5,0
0,question,they,they,12,18,11,34,5,40,0
0,question,never,never,13,5,18,11,40,39,0
0,question,ask,ask,14,39,5,18,39,39,0
0,question,you,you,15,21,39,39,31,23,0
0,question,any,any,16,31,21,39,23,30,0
1,question,questions,question,17,23,31,21,30,4,0
0,question,about,about,18,30,23,31,4,39,0
0,question,essential,essential,19,4,30,23,39,39,0
0,question,matters,matter,20,10,39,39,8,15,0
0,question,.,.,21,8,10,39,15,21,0
0,say,They,they,0,15,8,10,21,31,0
0,say,never,never,1,21,15,8,31,32,0
1,say,say,say,2,31,21,15,32,28,1
0,say,to,to,3,32,31,21,28,30,0
0,say,you,you,4,28,32,31,30,5,0
0,say,",",",",5,30,28,32,5,40,0
0,say,``,``,6,5,30,28,40,10,0
0,say,What,what,7,39,5,30,10,8,0
0,say,does,do,8,10,40,5,8,15,0
0,say,his,his,9,8,10,40,15,23,0
0,say,voice,voice,10,15,8,10,23,14,0
0,say,sound,sound,11,23,15,8,14,23,0
0,say,like,like,12,14,23,15,23,30,0
0,say,?,?,13,23,14,23,30,3,0
0,love,What,what,0,30,23,14,3,21,0
0,love,games,game,1,3,30,23,21,34,0
0,love,does,do,2,21,3,30,34,32,0
0,love,he,he,3,34,21,3,32,28,0
1,love,love,love,4,32,34,21,28,30,0
0,love,best,best,5,28,32,34,30,21,0
0,love,?,?,6,30,28,32,21,26,0
0,collect,Does,does,0,21,30,28,26,10,0
0,collect,he,he,1,26,21,30,10,8,0
1,collect,collect,collect,2,10,26,21,8,15,0
0,collect,butterflies,butterfly,3,8,10,26,15,4,0
0,collect,?,?,4,15,8,10,4,40,0
0,collect,``,``,5,4,15,8,40,39,0
0,demand,Instead,instead,0,39,4,15,39,39,0
0,demand,",",",",1,30,39,39,8,11,0
0,demand,they,they,2,8,30,39,11,15,0
1,demand,demand,demand,3,11,8,30,15,31,1
0,demand,:,:,4,15,11,8,31,22,0
0,demand,``,``,5,31,15,11,22,18,0
0,demand,How,how,6,22,31,15,18,4,0
0,demand,old,old,7,18,22,31,4,39,0
0,demand,is,be,8,4,18,22,39,39,0
0,demand,he,he,9,39,39,39,6,21,0
0,demand,?,?,10,6,40,39,21,23,0
0,haverelrole,How,how,0,21,6,40,23,34,0
0,haverelrole,many,many,1,23,21,6,34,10,0
0,haverelrole,brothers,brother,2,34,23,21,10,8,0
0,haverelrole,has,have,3,10,34,23,8,18,0
0,haverelrole,he,he,4,8,10,34,18,5,0
0,haverelrole,?,?,5,18,8,10,5,5,0
0,weigh,How,how,0,5,18,8,5,40,0
0,weigh,much,much,1,5,5,18,40,39,0
0,weigh,does,do,2,39,5,5,39,39,0
0,weigh,he,he,3,39,39,39,29,3,0
1,weigh,weigh,weigh,4,29,40,39,3,8,1
0,weigh,?,?,5,3,29,40,8,4,0
0,make,How,how,0,8,3,29,4,40,0
0,make,much,much,1,4,8,3,40,39,0
0,make,money,money,2,39,4,8,39,39,0
0,make,does,do,3,21,39,39,31,4,0
0,make,his,his,4,31,21,39,4,39,0
0,make,father,father,5,4,31,21,39,39,0
1,make,make,make,6,39,39,39,29,3,0
0,make,?,?,7,29,40,39,3,8,0
0,make,``,``,8,3,29,40,8,8,0
0,think,Only,only,0,8,3,29,8,4,0
0,think,from,from,1,8,8,3,4,39,0
0,think,these,these,2,4,8,8,39,39,0
0,think,figures,figure,3,21,39,39,34,23,0
0,think,do,do,4,34,21,39,23,30,0
0,think,they,they,5,23,34,21,30,15,0
1,think,think,think,6,30,23,34,15,4,0
0,think,they,they,7,15,30,23,4,39,0
0,think,have,have,8,4,15,30,39,39,0
0,think,learned,learn,9,21,39,39,31,21,0
0,think,anything,anything,10,31,21,39,21,10,0
0,think,about,about,11,21,31,21,10,8,0
0,think,him,him,12,10,21,31,8,11,0
0,think,.,.,13,8,10,21,11,15,0
0,possible,If,if,0,11,8,10,15,36,0
0,possible,you,you,1,15,11,8,36,31,0
0,possible,were,be,2,36,15,11,31,10,0
0,possible,to,to,3,31,36,15,10,22,0
0,possible,say,say,4,10,31,36,22,15,1
0,possible,to,to,5,22,10,31,15,4,0
0,possible,the,the,6,15,22,10,4,39,0
0,possible,grown,grown,7,4,15,22,39,39,0
0,possible,-,-,8,34,39,39,23,21,0
0,possible,ups,ups,9,23,34,39,21,30,0
0,possible,:,:,10,21,23,34,30,5,0
0,possible,``,``,11,30,21,23,5,5,0
0,possible,I,i,12,5,30,21,5,21,0
0,possible,saw,saw,13,5,5,30,21,34,0
0,possible,a,a,14,21,5,5,34,23,0
0,possible,beautiful,beautiful,15,34,21,5,23,11,0
0,possible,house,house,16,23,34,21,11,10,0
0,possible,made,make,17,11,23,34,10,18,0
0,possible,of,of,18,10,11,23,18,10,0
0,possible,rosy,rosy,19,18,10,11,10,15,0
0,possible,brick,brick,20,10,18,10,15,4,0
0,possible,",",",",21,15,10,18,4,40,0
0,possible,with,with,22,4,15,10,40,39,0
0,possible,geraniums,geranium,23,39,4,15,39,39,0
0,possible,in,in,24,21,39,39,31,10,0
0,possible,the,the,25,31,21,39,10,21,0
0,possible,windows,window,26,10,31,21,21,3,0
0,possible,and,and,27,21,10,31,3,15,0
0,possible,doves,dove,28,3,21,10,15,4,0
0,possible,on,on,29,15,3,21,4,39,0
0,possible,the,the,30,4,15,3,39,39,0
0,possible,roof,roof,31,39,39,39,18,10,0
0,possible,",",",",32,18,40,39,10,15,0
0,possible,``,``,33,10,18,40,15,4,0
0,possible,they,they,34,15,10,18,4,40,0
0,possible,would,would,35,4,15,10,40,39,0
0,possible,not,not,36,39,4,15,39,39,0
0,possible,be,be,37,21,39,39,31,10,0
0,possible,able,able,38,31,21,39,10,21,0
0,possible,to,to,39,10,31,21,21,9,0
0,possible,get,get,40,21,10,31,9,3,0
0,possible,any,any,41,9,21,10,3,10,0
0,possible,idea,idea,42,3,9,21,10,22,0
0,possible,of,of,43,10,3,9,22,15,0
0,possible,that,that,44,22,10,3,15,10,0
0,possible,house,house,45,15,22,10,10,22,0
0,possible,at,at,46,10,15,22,22,15,0
0,possible,all,all,47,22,10,15,15,3,0
0,possible,.,.,48,15,22,10,3,22,0
0,obligate,You,you,0,3,15,22,22,18,0
0,obligate,would,would,1,22,3,15,18,11,0
0,obligate,have,have,2,18,22,3,11,10,0
0,obligate,to,to,3,11,18,22,10,15,0
0,obligate,say,say,4,10,11,18,15,5,1
0,obligate,to,to,5,15,10,11,5,15,0
0,obligate,them,them,6,5,15,10,15,3,0
0,obligate,:,:,7,15,5,15,3,32,0
0,obligate,``,``,8,3,15,5,32,26,0
